Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed,did the student have any gaps in academic career,duration of academic gap in months,does the student have any prior work experience,total work experience of the student in months,name of the first organization worked at,duration of work experience at first organization in months,industry of the first organization,domain or function at first organization,job title or designation at first organization,name of the second organization worked at,duration of work experience at second organization in months,industry of the second organization,domain or function at second organization,job title or designation at second organization,name of the third organization worked at,duration of work experience at third organization in months,industry of the third organization,domain or function at third organization,job title or designation at third organization,"Languages the student can speak, understand, or is proficient in",Desired job role or long-term career goal of the student,First area of academic or professional specialization of the student,Second area of academic or professional specialization of the student,Name of the organization where the student completed their summer internship,Role or profile undertaken by the student during their summer internship,projects or research work done during mba,technical skills of the student,interpersonal or soft skills of the student
256,Ajay Tiwari,Male,3/31/2001,23,7.28,B.S. Anangpuria Institute Of Technology And Management,Gujarat Law Society (G.L.S) University,B.C.A.,Physics,88.8,2021,Sri Chaitanya Junior Kalasala,CBSE,Science (Non-Medical),81.4,2018,Bal Bharati Public School,CBSE,81.7,2016,No,5 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,Finance,Marketing,TARC Limited,Merchant Aquisition Intern,"1. Financial Analysis
2. Risk Assessment
3. Investment Research","1. Financial Modeling
2. Bloomberg
3. Advanced Excel","1. Financial Acumen
2. Analytical Thinking
3. Attention to Detail"
257,Mukesh Sethi,Male,8/22/2000,29,7.51,Shyam Lal College,Barkatullah University,B.Pharm,Dentistry,64.13,2020,Convent Of Gagan Bharti,CBSE,Science (Non-Medical),75.33,2014,"Army Public School, Shankar Vihar",CBSE,85.5,2011,No,7 months,Yes,8 months,Amazon Development Centre India,12 months,Construction,Consultancy,Territory Manager,No Organisation,6 months,Ed-tech,,ORM Manager,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Marketing,Finance,Skyria,Finance- Claims intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
258,Ameena Arora,Female,12/31/1999,24,6.66,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,71.7,2021,Delhi Public School,CBSE,Science (Non-Medical),79.6,2018,"Delhi Public School, Agra",CBSE,89.3,2016,No,9 months,Yes,28 months,Rezo.AI,23 months,Financial Services & Insurance,Operations,Senior Quality Analyst,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Finance,Marketing,Acclime India,Summer Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
259,Asha Malhotra,Female,6/28/2002,23,7.77,Maharaja Agrasen Institute Of Management Studies,Calcutta University,B.Com. (Hons.),Commerce,87.4,2022,Bhavan'S Vidyalaya,CBSE,Commerce,78.5,2019,"AG DAV Centenary Public School, Model Town",CBSE,89.3,2017,Yes,2 months,No,19 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,7P Digital Services,Sales & Marketing Intern,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Problem Solving
2. Strategic Thinking
3. Client Management"
260,Jyoti Rout,Female,3/13/1998,24,8.32,Rajdhani College,University Of Delhi,B.Com. (Hons.),General,76,2021,Shah International Public School,CBSE,Commerce,93.83,2018,Navy Children School,CBSE,95,2016,Yes,6 months,Yes,20 months,Ernst & Young GDS,6 months,Financial Services & Insurance,Sales,Developer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,Finance,Marketing,PVH Arvind Fashions Pvt. Ltd.,Marketing Intern,"1. Data Analysis
2. Business Metrics
3. Process Analytics","1. SQL
2. Python
3. Business Intelligence Tools","1. Data Analysis
2. Business Acumen
3. Problem Solving"
261,Arjun Rana,Male,4/23/1999,25,7.71,Fairfield Institute Of Management And Technology,Rajasthan University,B.E.,Bio-Technology,65.73,2020,La Martiniere Girls' College,CBSE,Commerce,92,2017,Delhi Public School,CBSE,95,2015,Yes,0 months,No,9 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Finance,Marketing,Adani Green Energy Ltd.,Sales and Marketing intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
262,Mahesh Garg,Male,4/14/2001,25,7.56,Shaheed Bhagat Singh College (Day),Dr. A.P.J. Abdul Kalam Technical University,B.E.,Zoology,72.5,2021,Cambridge Court High School,CBSE,Commerce,85.83,2017,St. Thomas school,ICSE,95,2015,Yes,9 months,Yes,32 months,Sayveg,15 months,Manufacturing,Operations,Network Engineer Trainee,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Data Scientist,Finance,Marketing,Bank of Baroda,Sales & Operations Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
263,Dhruv Mittal,Male,3/15/2002,22,7.46,Lalbhai Dalpatbhai Arts College,Gujarat University,B.Sc. (Hons.),Computer Science,81.22,2022,Sarvodaya Bal Vidyalaya,CBSE,Science (Medical),78.8,2018,Shree Sanatan Dharm Education Centre Kaushalpuri,CBSE,95.8,2016,Yes,2 months,No,30 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Bengali",Strategy Analyst,Big Data Analytics,Marketing,Hbits Amc Pvt Ltd.,Area sales manager trainee,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
264,Vivaan Bose,Male,7/24/2000,22,6.36,Dyal Singh College,University Of Delhi,B.Com. (Hons.),Commerce,77.81,2021,St. Marks Girls' Senior Secondary School,CBSE,Commerce,73,2018,Mahaveer Public School,CBSE,91.2,2016,Yes,8 months,No,32 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,Finance,Marketing,Godfrey Phillips India Ltd.,Finance Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
265,Deepak Nair,Male,8/23/2000,23,7.51,Maharaja Agrasen Institute Of Management Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,95.2,2023,Nehru World School,CBSE,Commerce,84.8,2019,National Victor Public School,CBSE,81.7,2017,No,11 months,No,19 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Marketing,Care Health Insurance,Sales Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
266,Kabir Rathi,Male,4/27/2001,22,7.75,Bharti Vidyapeeth Institute Of Management & Research,University Of Delhi,B.B.A.,General,90.1,2023,Dayanand Anglo Vedic,CBSE,Commerce,95.2,2020,Smt R K D Fomra V Vidyalaya,CBSE,88.8,2018,No,10 months,No,6 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Digital Marketing Specialist,Finance,Marketing,HDFC Bank,Business Development Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
267,Kavya Mittal,Female,6/28/2002,24,7.56,Daulat Ram College,University Of Delhi,B.Sc. (Hons.),Botany,80.23,2021,"D.C. Montessori Sr. Sec. Smart School, Manimajra",CBSE,Arts/ Humanities,83.4,2018,Christ School Poonch,CBSE,89.3,2016,Yes,12 months,No,19 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Brand Manager,International Business,Operations,Unicharm Indian,Business Developer,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
268,Rahul Saxena,Male,11/17/2001,27,7.88,"Bhilai Institute Of Technology, Durg",University Of Petroleum And Energy Studies,B.B.A.,Mechatronics Engineering,73.2,2018,Air Force Bal Bharati School,CBSE,Commerce,86.2,2014,L.P. Savani International School,CBSE,81.85,2011,Yes,11 months,Yes,8 months,Varroc Polymer Private Ltd. Narasapura Industrial Area Kolar,18 months,Consultancy,Operations,Customer Service and Operations Analyst,MS Shivalec Engineering CO Gail India Ltd,11 months,Ed-tech,Leadership & Organisation Development,Marketing and Public Relations Specialist,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Marketing,Operations,NTPC Ltd.,Marketing and Business development Intern,"1. Data Analysis
2. Business Metrics
3. Process Analytics","1. SQL
2. Python
3. Business Intelligence Tools","1. Data Analysis
2. Business Acumen
3. Problem Solving"
269,Ruchika Patel,Female,3/30/2001,23,8.02,Government Kamlaraja Girls Post-Graduate Autonomous College,Jiwaji University,B.Com. (Hons.),Accounting And Taxation,82.13,2022,The Modern Academy,CBSE,Commerce,90.6,2019,St. Theresa's Convent Sr. Sec. School,ICSE,95,2017,Yes,2 months,No,31 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Gujarati",Brand Manager,International Business,Finance,Times OOH,Summer Intern,"1. Market Research
2. Industry Analysis
3. Research Methodology","1. Statistical Tools
2. Research Software
3. Data Analysis","1. Research Methods
2. Critical Thinking
3. Academic Writing"
270,Akanksha Gupta,Female,10/17/1999,24,6.79,Chitkara University,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,79.46,2021,Yadavindra Public School,CBSE,Commerce,87.6,2018,"Jawahar Vidya Mandir, Shyamali",CBSE,79.8,2016,Yes,11 months,Yes,16 months,ITC- ABD Ltd,16 months,Information Technology,Finance,International Trainer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Assamese",Digital Marketing Specialist,Finance,Marketing,Mondelez International,Team Lead Sales,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
271,Ameena Sidhu,Female,11/25/2001,24,8.31,Janki Devi Memorial College,Kurukshetra University,B.Sc.,Database Management Systems,73.81,2022,K.L. Arya Dav Public School,CBSE,Commerce,92,2018,Minerva Public School,CBSE,93.1,2016,Yes,2 months,No,23 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Mandarin",Digital Marketing Specialist,International Business,Marketing,Loom Solar pvt ltd,Marketing Intern,"1. BI Solutions
2. Dashboard Development
3. Data Warehouse Design","1. SQL
2. Power BI
3. ETL Tools","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
272,Jyoti Patnaik,Female,11/21/1999,26,7.98,Government Engineering College,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,65.98,2019,Pathania Public School,CBSE,Commerce,79.6,2016,Delhi Public School,CBSE,77.9,2014,Yes,7 months,Yes,7 months,KPMG,13 months,Financial Services & Insurance,Human Resource,Audit Associate,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Data Scientist,Finance,Marketing,Unbeat Media (Infinity Ventures),Human Resource Intern,"1. BI Solutions
2. Dashboard Development
3. Data Warehouse Design","1. SQL
2. Power BI
3. ETL Tools","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
273,Arvind Khanna,Male,3/17/2002,23,7.21,Compfeeders Aisect College Of Professional Studies,Panjab University,B.Sc.,Bsc. Hons Mathematics (Economics Minor),79.45,2022,Vidya Mandir Public School,CBSE,Arts/ Humanities,88.33,2019,Modern Public school,CBSE,95,2016,Yes,9 months,No,28 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Bengali",Digital Marketing Specialist,Marketing,Operations,Dabur,Social Media and Branding Intern,"1. BI Solutions
2. Dashboard Development
3. Data Warehouse Design","1. SQL
2. Power BI
3. ETL Tools","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
274,Rajat Venkatesh,Male,12/18/2000,25,6.95,Jagannath International Management School,Amity University,B.A. (Hons.),Economics,72.3,2021,St. George'S School,CBSE,Commerce,67.6,2015,Darbari Lal D.A.V Model School,CBSE,66,2013,No,11 months,Yes,32 months,Public Health Foundation Of India,20 months,Financial Services & Insurance,IT (Software Development),Functional Analyst,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,International Business,Information Technology,PEE Safe Pvt Ltd,Intern @ Business Finance,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
275,Chandan Talwar,Male,3/30/2001,22,8.33,Motilal Nehru College,University Of Delhi,B.Com. (Hons.),General,77.71,2021,Vikas Bharati Public School,CBSE,Commerce,94.4,2018,Vikas Bharati Public School,CBSE,95,2016,Yes,6 months,No,10 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,GreyRadius Informatics Private Limited,Customer Experience Intern,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
276,Hemlata Hanjra,Female,8/14/1998,27,8.02,Satyawati College,University Of Delhi,B.Com. (Hons.),General,70.73,2018,Delhi Public School,CBSE,Commerce,87,2014,St. Xavier's School,CBSE,90.25,2011,Yes,12 months,Yes,31 months,Jayaswal Neco Industries Limited,26 months,Consultancy,Human Resource,Audit Associate,Examguru,7 months,Logistics,Consultancy,N.A.,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Strategy Analyst,International Business,Marketing,GEP Worldwide,Consultant (Consulting),"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
277,Hemlata Kaur,Female,3/26/2002,23,7.71,Narsee Monjee Institute Of Management Studies,University Of Kota,B.B.A.,Commerce,79.4,2022,Ahlcon International School,CBSE,Commerce,85.6,2019,Ashok Memorial Public School,CBSE,87.4,2017,Yes,8 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Marketing,Finance,Unicharm,Marketing Intern,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
278,Surbhi Vyas,Female,7/20/2002,23,8.43,National Institute Of Fashion Technology,Nmims University,B.Com. (Hons.),General,76.57,2021,K R Mangalam World School,RBSE,Science (Medical),60,2017,Gurukul Convent School,CBSE,76,2015,No,0 months,No,0 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Market Research Specialist,Finance,Human Resources,GEP Worldwide,Product Management Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
279,Pooja Goswami,Female,7/14/1998,26,7.98,St .Thomas College,University Of Delhi,B.Com. (Hons.),General,80.8,2019,Rainbow School,CBSE,Commerce,92.2,2016,Pragati Public School,CBSE,72.2,2014,Yes,0 months,Yes,#REF!,"The Westin, Gurgaon (Marriott International)",16 months,Financial Services & Insurance,Marketing,Audit Associate,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Finance,Big Data Analytics,NJ India Invest Pvt. Ltd.,Project Advisory and Structured Finance,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
